year,time_code,country,country_code,co2_emissions,epr_female,epr_male,income_pc,population,pupils_pri_educ,pupils_sec_educ,region
1995,YR1995,China,CHN,2.755754966,70.7009964,81.84799957,521.1890135,1204855000,128226233,58941484,Asia
1995,YR1995,India,IND,0.841937014,28.91500092,79.36299896,325.8307845,963922588,109043663,65206357,Asia
1995,YR1995,Indonesia,IDN,1.142214229,46.77500153,79.76899719,908.0487144,196934260,29721859,12223753,Asia
1995,YR1995,Pakistan,PAK,0.682551063,12.46500015,82.66799927,449.2004972,123776839,,,Asia
1995,YR1995,Bangladesh,BGD,0.198107909,25.13400078,85.51699829,311.8550229,115169930,,,Asia
1995,YR1995,Cuba,CUB,2.361199667,32.02899933,63.83000183,2422.172316,10888252,1007769,674152,The Carribean
1995,YR1995,Dominican Republic,DOM,2.031582325,33.51100159,76.95899963,1921.698908,7819247,1121000,454561,The Carribean
1995,YR1995,Haiti,HTI,0.116480296,53.01300049,69.5530014,351.9947095,7744503,1192986,,The Carribean
1995,YR1995,Jamaica,JAM,3.622552454,50.125,68.71600342,2217.996391,2533711,,,The Carribean
1995,YR1995,Trinidad and Tobago,TTO,13.57216871,42.86000061,73.34300232,3132.901242,1254200,191636,,The Carribean
1995,YR1995,United States,USA,19.27654526,54.57699966,70.08499908,24193.51723,266278000,,,North & Central America
1995,YR1995,Mexico,MEX,3.630863982,34.38399887,78.17099762,3130.873525,58019030,,4986597,North & Central America
1995,YR1995,Canada,CAN,15.95907715,51.625,65.22200012,16551.19515,91663285,14574202,7264620,North & Central America
1995,YR1995,Guatemala,GTM,0.688410969,38.25899887,84.03800201,1251.53926,29302311,2413126,2469552,North & Central America
1995,YR1995,Honduras,HND,0.679571989,44.42699814,85.92700195,830.1793379,10408489,1470754,372006,North & Central America
1995,YR1995,Brazil,BRA,1.594541722,43.32799911,76.64499664,4139.823444,5709014,1008092,,South America
1995,YR1995,Colombia,COL,1.636794764,46.77799988,78.2460022,2205.439556,162019896,,,South America
1995,YR1995,Argentina,ARG,3.674141708,37.36000061,62.6629982,6624.194746,36421438,4692614,3025350,South America
1995,YR1995,Peru,PER,0.982880519,47.1609993,73.55000305,1935.791818,34828170,,,South America
1995,YR1995,"Venezuela, RB",VEN,6.080431546,40.78900146,72.49900055,3066.114639,24299160,4131085,1862728,South America
1995,YR1995,Australia,AUS,15.59651881,49.31499863,67.51100159,16066.20212,21931084,,,Oceania
1995,YR1995,Papua New Guinea,PNG,0.39730676,68.26399994,69.5,573.7961615,18072000,1833681,2182085,Oceania
1995,YR1995,New Zealand,NZL,7.386109054,51.53900146,69.1190033,13747.38223,5187060,516797,78759,Oceania
1995,YR1995,Fiji,FJI,0.983636071,37.51599884,76.63300323,2218.585921,3673400,345236,420070,Oceania
1995,YR1995,Solomon Islands,SLB,0.398053334,79.3730011,81.8789978,719.52039,775425,118631,,Oceania
1995,YR1995,Russian Federation,RUS,10.99555846,48.72900009,63.94499969,1300.128309,359281,63794,,Europe
1995,YR1995,Germany,DEU,10.57946663,43.22900009,64.52700043,26566.94758,148375726,7849000,14528000,Europe
1995,YR1995,Turkey,TUR,2.940423779,28.49799919,71.43900299,2403.789603,58486456,6466648,4725551,Europe
1995,YR1995,France,FRA,5.864118291,40.96099854,56.84700012,23050.69389,59541899,4071599,6003797,Europe
1995,YR1995,United Kingdom,GBR,9.274846236,48.23099899,63.44800186,19016.8438,81678051,3727157,8152297,Europe
1996,YR1996,Nigeria,NGA,0.35842027,53.18000031,63.0719986,361.0806024,110668794,14078473,,Africa
1996,YR1996,Ethiopia,ETH,0.048574873,65.38300323,87.33300018,104.8706999,58883530,3380068,819242,Africa
1996,YR1996,"Egypt, Arab Rep.",EGY,1.604213754,16.48200035,67.42900085,921.1151709,63601629,8185030,6142651,Africa
1996,YR1996,"Congo, Dem. Rep.",COD,0.054202372,68.9260025,69.7519989,105.5390803,42757243,,,Africa
1996,YR1996,South Africa,ZAF,8.626706188,27.58200073,51.11299896,2879.439693,42241011,,,Africa
1996,YR1996,China,CHN,2.844309582,70.42199707,81.61699677,602.3604901,1217550000,131951477,63800417,Asia
1996,YR1996,India,IND,0.898163092,28.87700081,79.11599731,349.2058993,982365243,109734292,66633720,Asia
1996,YR1996,Indonesia,IDN,1.267079215,46.5890007,79.72699738,1005.397027,199901228,29447990,13095913,Asia
1996,YR1996,Pakistan,PAK,0.741639408,13.56299973,82.7990036,449.222516,127349290,,,Asia
1996,YR1996,Bangladesh,BGD,0.204248745,25.33799934,85.22499847,372.0497428,117649932,,,Asia
1996,YR1996,Cuba,CUB,2.467842666,31.98500061,64.66100311,1971.951388,10939293,1074153,704601,The Carribean
1996,YR1996,Dominican Republic,DOM,2.1786862,33.96099854,76.69400024,2103.859529,7952763,1171518,,The Carribean
1996,YR1996,Haiti,HTI,0.131108678,53.04399872,68.60600281,358.4101524,7887304,1305620,,The Carribean
1996,YR1996,Jamaica,JAM,3.792207335,48.61800003,69.26699829,2530.174047,2558637,,,The Carribean
1996,YR1996,Trinidad and Tobago,TTO,16.37328247,44.86000061,73.03700256,3196.793535,1257549,186000,,The Carribean
1996,YR1996,United States,USA,19.49602474,54.98099899,70.25499725,25440.4559,269394000,,,North & Central America
1996,YR1996,Mexico,MEX,3.719042582,34.97900009,79.61499786,3538.524516,58166950,,5000486,North & Central America
1996,YR1996,Canada,CAN,16.1910295,51.48899841,64.84600067,16963.13841,93147044,14623438,7589414,North & Central America
1996,YR1996,Guatemala,GTM,0.62479024,38.43899918,83.91699982,1302.628114,29610218,2448144,2505389,North & Central America
1996,YR1996,Honduras,HND,0.674125746,43.92599869,84.96299744,788.0636137,10646674,1510811,375528,North & Central America
1996,YR1996,Brazil,BRA,1.729996821,41.73699951,74.65200043,4453.082804,5874809,1032595,,South America
1996,YR1996,Colombia,COL,1.632508097,45.03900146,75.8769989,2227.501771,164614688,,,South America
1996,YR1996,Argentina,ARG,3.830198391,39.29700089,63.19599915,6884.77695,37076387,4916934,3252128,South America
1996,YR1996,Peru,PER,0.98527068,49.73500061,74.23500061,1981.498344,35246374,5250329,2594329,South America
